Fecha,Hora,Cliente,Dirección,Teléfono,Empleado,Tipo,Valor
2026-04-01,09:00,Soladas y Jugueteria S.A.S,cra 39 34 54,3265457987,admin,FUMIGACION,50000.0
2026-05-24,12:00,Soladas y Jugueteria S.A.S,cra 39 34 54,3265457987,admin,RECARGA DE EXTINTORES,1510000.0
